claim_id,claim,source,url_or_path,status,limitation,scope,next_check
R01,"Pupil-teacher ratio divides enrolled pupils by teachers at the same education level","World Bank WDI metadata: SE.SEC.ENRL.TC.ZS","https://databank.worldbank.org/metadataglossary/world-development-indicators/series/SE.SEC.ENRL.TC.ZS","Metadata readable in supplied research","Definition does not verify the local workbook or its totals","Secondary education indicator definition","Check level and reporting-period comparability before applying internationally"
R02,"Teaching hours; part-time staff; shifts; multigrade teaching; and reporting differences limit ratio interpretation","World Bank WDI metadata: SE.SEC.ENRL.TC.ZS","https://databank.worldbank.org/metadataglossary/world-development-indicators/series/SE.SEC.ENRL.TC.ZS","Metadata readable in supplied research","Ratio is not actual class size or proof of education quality","Ratio interpretation","Obtain classroom and staffing-context evidence before drawing local conclusions"
R03,"BANBEIS homepage linked the 2024 education statistics report","BANBEIS homepage","http://www.banbeis.gov.bd/","Homepage link identified in supplied research","Homepage access does not verify education totals; earlier HTTPS access was unreliable","Publication discovery","Recheck publication access"
R04,"Publication reference is Bangladesh Education Statistics 2024 by BANBEIS; linked filename is Bangladesh Education Statistics 2024.pdf","BANBEIS-linked report","https://drive.google.com/file/d/1o1pXLo9PoeTyQMS103IZF-ff_5Q4HyVt/view?usp=sharing","Link and filename identified in supplied research","PDF tables have not been independently inspected or reconciled with the workbook","Official publication reference","Compare relevant PDF tables; definitions; coverage; district and national values"
R05,"Local BANBEIS-based workbook is the working input for corrected project summaries","Project source workbook","data/BANBEIS_2024_District_Education_Stats.xlsx","Input retained; summary extraction repaired","Workbook agreement is not independent verification against the original publication","School and college project data","Document publication table identifiers and compare source definitions"
R06,"School TSR minimum 20.72 Jessore; maximum 49.91 Sunamganj; median 31.47; mean 32.16; national ratio 30.90","Corrected school summary and regression expectations","data/school_summary.csv; src/test_summaries.py:201-224","Current corrected calculations checked against workbook totals","District statistics exclude national Total; ratios do not measure actual classes","2024 secondary-school summary","Keep statistics reproducible when inputs change"
R07,"College TSR minimum 17.47 Natore; maximum 77.71 Bandarban; median 38.71; mean 41.89; national ratio 37.10","Corrected college summary and regression expectations","data/college_summary.csv; src/test_summaries.py:201-224","Current corrected calculations checked against workbook totals","College coverage spans several levels; ratios do not measure actual classes","2024 college summary","Keep statistics reproducible when inputs change"
R08,"National ratio is summed district students divided by summed teachers; district mean weights the 64 published rounded district ratios equally","Current summary rendering routine","src/generate_summaries.py:278-314","Current method inspected","Teacher-weighting equivalence uses unrounded ratios; district statistics use two-decimal published ratios","National ratio; district mean and median","Keep sum-based aggregates distinct from district averages"
R09,"Final District=Total row is retained in full CSVs but excluded from district statistics and rankings","Current summary rendering routine","src/generate_summaries.py:297-313","Current method inspected","Adding national Total to the district counts would double count","Ranges; medians; means; rankings","Retain district-only selection in derived comparisons"
R10,"Historical malformed college detail fields: Nilphamari row871 E:K was 12;3;430;95;6843;3914;blank although E is Area; Panchagarh row900 similarly malformed","Earlier worksheet audit and current district-total extraction","data/BANBEIS_2024_District_Education_Stats.xlsx | College_By_District rows 871;900;1136;1137; src/generate_summaries.py:233-266","Resolved in summary extraction; history retained","Malformed source details were not reconstructed; current summaries use appended district totals at 1136 and 1137","Nilphamari and Panchagarh colleges","Compare source detail fields with the publication if using them separately"
